backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,er,18,2,2,ER_ERR,0.340176,0.361681,0.021505,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,19,2,2,ER_ERR,0.340176,0.359726,0.01955,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,20,2,2,ER_ERR,0.340176,0.373412,0.033236,quants_1024/GPTQ/quants_tc1024_er_fold2,14
hubertL,er,21,2,2,ER_ERR,0.340176,0.387097,0.046921,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,22,2,2,ER_ERR,0.340176,0.360704,0.020528,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,23,2,2,ER_ERR,0.340176,0.339198,-0.000978,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,0,2,3,ER_ERR,0.40139,0.398784,-0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,1,2,3,ER_ERR,0.40139,0.409209,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,2,2,3,ER_ERR,0.40139,0.397915,-0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,3,2,3,ER_ERR,0.40139,0.403128,0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,4,2,3,ER_ERR,0.40139,0.405734,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,5,2,3,ER_ERR,0.40139,0.395308,-0.006082,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,6,2,3,ER_ERR,0.40139,0.39444,-0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,7,2,3,ER_ERR,0.40139,0.397915,-0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,8,2,3,ER_ERR,0.40139,0.404865,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,9,2,3,ER_ERR,0.40139,0.403128,0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,10,2,3,ER_ERR,0.40139,0.405734,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,11,2,3,ER_ERR,0.40139,0.396177,-0.005213,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,12,2,3,ER_ERR,0.40139,0.390964,-0.010426,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,13,2,3,ER_ERR,0.40139,0.398784,-0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,14,2,3,ER_ERR,0.40139,0.383145,-0.018245,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,15,2,3,ER_ERR,0.40139,0.41616,0.01477,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,16,2,3,ER_ERR,0.40139,0.403128,0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,17,2,3,ER_ERR,0.40139,0.403997,0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,18,2,3,ER_ERR,0.40139,0.397046,-0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,19,2,3,ER_ERR,0.40139,0.397046,-0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,20,2,3,ER_ERR,0.40139,0.418766,0.017376,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,21,2,3,ER_ERR,0.40139,0.407472,0.006082,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,22,2,3,ER_ERR,0.40139,0.425717,0.024327,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,23,2,3,ER_ERR,0.40139,0.399652,-0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,16
hubertL,er,0,2,4,ER_ERR,0.359845,0.367604,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,1,2,4,ER_ERR,0.359845,0.344326,-0.015519,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,2,2,4,ER_ERR,0.359845,0.365664,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,3,2,4,ER_ERR,0.359845,0.353055,-0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,4,2,4,ER_ERR,0.359845,0.357905,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,5,2,4,ER_ERR,0.359845,0.355965,-0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,6,2,4,ER_ERR,0.359845,0.363725,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,7,2,4,ER_ERR,0.359845,0.345296,-0.014549,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,8,2,4,ER_ERR,0.359845,0.354995,-0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,9,2,4,ER_ERR,0.359845,0.370514,0.010669,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,10,2,4,ER_ERR,0.359845,0.357905,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,11,2,4,ER_ERR,0.359845,0.359845,0.0,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,12,2,4,ER_ERR,0.359845,0.362755,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,13,2,4,ER_ERR,0.359845,0.364694,0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,14,2,4,ER_ERR,0.359845,0.374394,0.014549,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,15,2,4,ER_ERR,0.359845,0.375364,0.015519,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,16,2,4,ER_ERR,0.359845,0.362755,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,17,2,4,ER_ERR,0.359845,0.359845,0.0,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,18,2,4,ER_ERR,0.359845,0.365664,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,14
hubertL,er,19,2,4,ER_ERR,0.359845,0.365664,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,20,2,4,ER_ERR,0.359845,0.356935,-0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,21,2,4,ER_ERR,0.359845,0.383123,0.023278,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,22,2,4,ER_ERR,0.359845,0.357905,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,23,2,4,ER_ERR,0.359845,0.358875,-0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,15
hubertL,er,0,2,5,ER_ERR,0.367446,0.359388,-0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,1,2,5,ER_ERR,0.367446,0.363417,-0.004029,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,2,2,5,ER_ERR,0.367446,0.373892,0.006446,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,3,2,5,ER_ERR,0.367446,0.359388,-0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,4,2,5,ER_ERR,0.367446,0.376309,0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,5,2,5,ER_ERR,0.367446,0.376309,0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,6,2,5,ER_ERR,0.367446,0.361805,-0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,7,2,5,ER_ERR,0.367446,0.375504,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,8,2,5,ER_ERR,0.367446,0.369057,0.001612,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,9,2,5,ER_ERR,0.367446,0.368251,0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,10,2,5,ER_ERR,0.367446,0.371475,0.004029,quants_1024/GPTQ/quants_tc1024_er_fold5,17
hubertL,er,11,2,5,ER_ERR,0.367446,0.380338,0.012893,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,12,2,5,ER_ERR,0.367446,0.377115,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,13,2,5,ER_ERR,0.367446,0.376309,0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,18
